chinese_name,english_name
工业系统工程学院,School of Engineering in Industrial Systems Engineering
巴斯克地区高等艺术学院,ESAPB: Basque Country School of Art
巴黎-马拉盖国立高等建筑学院,ENSA Paris-Malaquais
巴黎EFAP传播学院,EFAP School of Communication
巴黎HEC高等商学院,HEC Paris
巴黎PPA商学院,PPA Business School
巴黎东大学,Paris-East University
巴黎东方语言文化学院,INALCO
巴黎东部高等教育集团,GESCEP: GROUPE D'ENSEIGN SUP EST PARISIEN
巴黎中央理工学院,CentraleSupélec
巴黎企业创建者与领导者商业学院,EDC Paris Business School
巴黎商学院,Paris School of Business
巴黎国立高等化工学院,Chimie ParisTech
巴黎国立高等建筑学院,Paris-Val de Seine National Higher School of Architecture
巴黎国立高等矿业学院,Mines ParisTech
巴黎国立高等美术学院,National Higher School of Fine Arts
巴黎国立高等音乐与舞蹈学院,Paris National Conservatory of Music and Dance
巴黎国际剪裁学院,Paris International Academy of Cutting
巴黎国际商业拓展学院,ICD International Business School
巴黎国际时尚艺术学院,MOD'ART INTERNATIONAL
巴黎国际管理学院,EIMP: Paris International School of Management
巴黎地球物理学院,Paris Institute of Earth Physics
巴黎塞尔吉国立高等艺术学院,Paris-Cergy National Higher School of Art
巴黎塞纳河谷建筑学院,Paris-Val de Seine School of Architecture
巴黎大学,University of Paris
巴黎学院,College of Paris
巴黎工商会,Paris Ile-de-France Regional Chamber of Commerce and Industry
巴黎市工业物理化学学院,ESPCI Paris
巴黎市工程师学院,EIVP - School of Engineers of the City of Paris
巴黎市政工程建筑工业专业学院,ESTP Paris
巴黎平面艺术高等职业学院,EPSAA: Paris Higher Professional School of Graphic Arts
巴黎拉维莱特国立高等建筑学院,Paris-La Villette National Higher School of Architecture
巴黎拉维莱特建筑学院,Paris La Villette School of Architecture
巴黎摄影学院,SPEOS Paris Photographic Institute
巴黎政治学院,Sciences Po Paris
巴黎文理大学,Paris Sciences and Letters University
巴黎文理研究大学 - 巴黎天文台,Observatoire de Paris-PSL
巴黎理工学院,Paris Polytechnic Institute
巴黎理工学院-矿业与电信学院集团南巴黎电信学院,Télécom SudParis
巴黎第一大学,Paris 1 Panthéon-Sorbonne University
巴黎第七大学工程师学院,Denis Diderot Engineering School of the University Paris VII
巴黎第三大学,Sorbonne Nouvelle University
巴黎第九大学 - 巴黎文理研究大学,Paris Dauphine-PSL University
巴黎第二大学,Paris II Panthéon-Assas University
巴黎第八大学,University of Paris 8 Vincennes Saint-Denis
巴黎第十二大学,Paris-Est Créteil University
巴黎第十大学,Paris Nanterre University
巴黎索邦北大学,Sorbonne Paris Nord University
巴黎萨克雷大学,Paris-Saclay University
巴黎萨克雷大学综合理工学院,Polytechnic School of Paris-Saclay University
巴黎萨克雷高等师范学院,ENS Paris-Saclay
巴黎西岱大学,Paris Cité University
巴黎贝尔维尔国立高等建筑学院,Paris-Belleville National Higher School of Architecture
巴黎高等师范学院,École Normale Supérieure
巴黎高等电子与电工技术工程师学院,ESIEE Paris
巴黎高等电子学院,ISEP: Graduate School of Electronics - Paris
巴黎高等矿业学院,MINES ParisTech
巴黎高等研究实践学院,School for Advanced Studies
巴黎高等社会科学研究学院,School for Advanced Studies in the Social Sciences
巴黎高等视听制作学院,ESRA International Film School
巴黎高等音乐师范学院,Ecole Normale de Musique de Paris
巴黎－塞纳国立高等建筑学院,Paris-Val de Seine National School of Architecture
布列塔尼-卢瓦尔河现场表演高等教育中心,Le Pont Supérieur
布列塔尼国立高等先进技术学院,ENSTA Bretagne
布列塔尼国立高等建筑学院,ENSA de Bretagne: Brittany National School of Architecture
布列塔尼欧洲高等艺术学院,European School of Art of Brittany
布勒学院,DDLM The Blue School
布尔日国立高等美术学院,Bourges National School of Art
布雷斯特国立工程师学院,ENI Brest
布雷斯特高等商学院,Brest Business School
广告与数字高等学院集团,Groupe ESP-ESD: School of Advertising - School of Digital Technology
应用艺术发展学院,IDAA: Institute for the Development of Applied Arts
康布雷高等艺术与传播学院,Cambrai School of Art and Communication
建筑专业学院,ESA: Special School of Architecture
弗朗什－孔泰大学（贝桑松大学）,University of Franche-Comté
拉罗谢尔大学,La Rochelle University
拉萨尔综合理工学院,UniLaSalle
数字创作与动画学院,ICAN: Institute of Creation and Digital Animation
斯特拉斯堡国立应用科学学院,INSA Strasbourg
斯特拉斯堡国立高等建筑学院,ENSA Strasbourg
斯特拉斯堡大学,University of Strasbourg
斯特拉斯堡大学地球科学实验室与学院,University of Strasbourg School and Observatory of Earth Sciences
斯特拉斯堡大学斯特拉斯堡生物技术高等学院,ESBS - Strasbourg Graduate School of Biotechnology
斯特拉斯堡大学斯特拉斯堡电信与物理学院,Télécom Physique Strasbourg
斯特拉斯堡大学斯特拉斯堡经济管理学院,EM Strasbourg Business School
斯特拉斯堡大学欧洲化学、聚合物与材料学院,ECPM Strasbourg
斯特拉斯堡装饰艺术高等学院,Rhine Higher School of Art
斯特拉斯堡路易巴斯德大学,Louis Pasteur University
斯特拉特设计学院,Strate School of Design
新三维通用教育学院,New 3D General Education
时尚与奢侈品高等生产学院,La Fabrique - School for Fashion and Luxury
时尚艺术与技术高等学院,ESMOD International Fashion University Group
昂热国家现代舞中心,National Center for Contemporary Dance - Angers
昂热大学,University of Angers
昂热高等农业学院,ESA School of Agriculture
昂热高等商业科学学院,ESSCA School of Management
昂热高等美术学院,Angers School of Fine Arts
昂热高等计算机与生产技术学院,ESIEA Group
普尔潘工程师学院,Purpan Engineering School
普瓦提埃国立高等机械与航空技术学院,National School of Mechanics and Aerotechnics of Poitiers
普瓦提埃大学,University of Poitiers
普瓦提埃大学国立高等工程师学院,National Graduate School of Engineering of Poitiers - University of Poitiers
普瓦提埃大学高等工程师学院,Graduate School of Engineering of Poitiers - University of Poitiers
普罗旺斯大学,University of Provence
普罗旺斯艾克斯政治学院,Sciences Po Aix
木材工程学院,ESB: French School of Wood
杜埃国立高等工业技术与矿业学院,ENSTIM Douai
杜埃国立高等矿业学院,IMT Lille Douai
格勒诺布尔-瓦朗斯高等艺术与设计学院,Grenoble-Valence School of Art and Design
格勒诺布尔-阿尔卑斯大学,Grenoble Alpes University
格勒诺布尔-阿尔卑斯大学综合理工学院,Grenoble INP - Institute of Engineering Univ. Grenoble Alpes
格勒诺布尔国立高等信息与应用数学学院,Ensimag - Grenoble INP
格勒诺布尔国立高等工业工程学院,Grenoble INP - Industrial Engineering School
格勒诺布尔国立高等建筑学院,Grenoble National School of Architecture
格勒诺布尔国立高等物理、电力与材料学院,Grenoble INP - Phelma
格勒诺布尔国立高等能源、水与环境学院,Grenoble INP - Ense3
格勒诺布尔国际造纸、印刷与生物材料学院,Grenoble INP - Pagora
格勒诺布尔经济管理学院,Grenoble School of Management
格勒诺布尔综合理工学院,Grenoble INP - Institute of Engineering Univ. Grenoble Alpes
欧洲与地中海高等音乐教育学院,Institute for Higher Education in Music Europe and the Mediterranean
欧洲互联网应用学院,EEMI: European School of Internet Professions
欧洲商务管理学院,INSEAD
欧洲管理学院,European Business School Paris
欧洲通信学院,EURECOM
欧洲高等图像学院,European School of Visual Arts
欧洲高等管理学院,ISEG Group
比利牛斯山波城-塔尔博高等艺术学院,Pau Tarbes Pyrénées Higher School of Art
法国时尚学院,French Fashion Institute
法国波利尼西亚大学,University of French Polynesia
法国电子与计算机信息学院,EFREI Paris
法国酒店与旅游学院,French School of Hospitality and Tourism
波城大学,University of Pau and the Adour Region
波城大学国立高等工业科技工程学院,ENSGTI
波城高等商业学院,ESC PAU Business School
波尔多国立高等农业科学学院,Bordeaux Sciences Agro
波尔多国立高等建筑与景观学院,Bordeaux National School of Architecture and Landscape
波尔多大学,University of Bordeaux
波尔多政治学院,Sciences Po Bordeaux
波尔多第三大学,Bordeaux Montaigne University
波尔多综合理工学院,Bordeaux INP
波尔多综合理工学院-波尔多国家高等生物分子技术学院,Bordeaux INP - ENSTBB
波尔多综合理工学院-波尔多国家高等电子、计算机、电信、数学与机械学院,Bordeaux INP - ENSEIRB-MATMECA
波尔多综合理工学院-波尔多国立高等化学、生物与物理学院,ENSCBP Bordeaux INP
波尔多自然与农业食品科学学院,ISNAB: Institute of Nature and Agri-Food Sciences of Bordeaux
波尔多高等商学院,Bordeaux Business School
波尔多高等美术学院,Bordeaux School of Fine Arts
洛林国立综合理工学院,Lorraine INP
洛林大学,University of Lorraine
洛林大学南锡国立高等矿业学院,University of Lorraine-Nancy National School of Mines
洛林大学南锡电信学院,TELECOM Nancy
洛林大学国立高等农艺与食品工业学院,University of Lorraine - National School of Agronomy and Food Industries
洛林大学国立高等化工学院,National School of Chemical Industries (ENSIC)
洛林大学国立高等电工与机械学院,National School of Electricity and Mechanics (ENSEM)
洛林大学梅斯国立工程师学院,National Engineering School of Metz (ENIM)
洛林大学欧洲材料工程工程师学院,EEIGM - European School of Engineering in Advanced Materials
洛林大学综合理工学院,University of Lorraine Polytech Nancy
洛林高等艺术学院,Lorraine School of Art
滨海大学,University of the Littoral Opal Coast
滨海大学敦刻尔克国际高等商学院,"University of the Littoral Opal Coast, Dunkirk International Business School"
潘宁根高等平面设计与室内建筑学院,ESAG Penninghen
特鲁瓦技术大学,University of Technology of Troyes
特鲁瓦高等商业学院,Groupe ESC Troyes
瓦岱尔酒店管理学院,Vatel International Business School
瓦朗谢纳大学国立高等计算机、电子能源及机械自动化工程师学院,ENSEIRB-MATMECA
瓦朗谢纳高等美术学院,Valenciennes School of Fine Arts
生命与环境科学与工业学院,AgroParisTech
电力、生产与工业方法学院,ECAM-EPMI
电力与机械专业学院,ESME
留尼汪大学,University of Reunion
矿业与电信学院商业学院,Institut Mines-Télécom Business School
矿业与电信学院集团大西洋布列塔尼卢瓦尔河国立高等电信学院,Mines-Télécom Atlantique
矿业与电信学院集团巴黎高等电信学院,Télécom Paris
福尔玛蒂学院,FORMATIVES
私立国际比较法与经济学院,Private International School of Comparative Law and Economics
科学经济与管理学院,IESEG School of Management
科西嘉大学,University of Corsica Pascal Paoli
第戎-勃艮第高等商业学院,Burgundy School of Business
第戎国立高等农学、食品与环境学院,Agrosup Dijon
第戎国立高等艺术学院,ENSA Dijon
第戎大学汽车与交通学院,ISAT Nevers
米鲁兹南阿尔萨斯国立高等工程师学院,National School of Engineering Sud Alsace
米鲁兹大学米鲁兹国立高等化工学院,National School of Chemistry of Mulhouse
索邦大学,Sorbonne University
索邦大学综合理工学院,"Polytechnic School, Sorbonne University"
索邦设计和工艺高等院校大学联合体,HESAM University
经济、艺术与交流高等研究中心,Groupe EAC
综合理工学院,École Polytechnique
网络工厂学院,La Web School Factory
罗纳－阿尔卑斯高等农业学院,ISARA Lyon
美国商学院,The American Business School of Paris
艺术与制造中央学院,École Centrale Paris
艾万西提技术、商业与社会学院,Aivancity School for Technology  Business & Society
艾代克高等商业学院（北方高等商业学院）,EDHEC Business School
艾克斯-普罗旺斯高等艺术学院,Aix-en-Provence School of Art
艾克斯-马赛大学综合理工学院,Polytech Marseille  Aix-Marseille University
艾克斯－马赛大学,Aix-Marseille University
莱茵高等艺术学院,Rhine Higher School of Art
萨瓦大学,University of Savoie Mont Blanc
萨瓦大学综合理工学院,Polytech Annecy-Chambéry
蒙彼利埃国立高等农业、食品与环境教育学院,Montpellier SupAgro
蒙彼利埃国立高等农业研究学院,Montpellier SupAgro
蒙彼利埃国立高等化工学院,ENSC Montpellier
蒙彼利埃国际高等农学研究中心,Montpellier SupAgro
蒙彼利埃大学,University of Montpellier
蒙彼利埃大学综合理工学院,Polytech Montpellier
蒙彼利埃高等商业学院,Montpellier Business School
蒙彼利埃高等美术学院,Montpellier Méditerranée Métropole Higher School of Fine Arts
蓝色海岸大学,University of Côte d'Azur
蓝色海岸大学综合理工学院,Polytech Nice Sophia University of Côte d'Azur
蔚蓝海岸大学联合体,University of Côte d'Azur
西布列塔尼大学,University of Western Brittany
西布列塔尼大学大西洋布列塔尼高等农产食品工程学院,University of Brest
西部高等电子学院,ESEO: Graduate School of Engineering
规划与设计创意、创造研究学院,"CREAD: Institute for Creation, Production, Study in Planning and Design"
视觉创意学院,ECV: School of Visual Communication
视觉设计与传达学院,Intuit.Lab School
计算机与先进技术学院,School of Computer Science and Advanced Techniques (EPITA)
