chinese_name,english_name
德克萨斯大学休斯顿健康科学中心,The University of Texas Health Science Center at Houston
东北伊利诺伊大学,Northeastern Illinois University
东德克萨斯浸信会大学,East Texas Baptist University
得梅因地区社区学院,Des Moines Area Community College
大峡谷大学,Grand Canyon University
大西洋中医学院,Atlantic Institute of Oriental Medicine
丹佛大学,University of Denver
底特律梅西大学,University of Detroit Mercy
东西大学,East-West University
东南浸会神学院,Southeastern Baptist Theological Seminary
德保罗大学,DePaul University
迪堡大学,DePauw University
东中部大学,East Central University
杜比克大学,University of Dubuque
迪金森州立大学,Dickinson State University
达拉斯大学,The University of Dallas
德鲁里大学,Drury University
东北大学,Northeastern University
东北初级学院,Northeastern Junior College
达拉斯神学院,Dallas Theological Seminary
东华盛顿大学,Eastern Washington University
东新墨西哥大学,Eastern New Mexico University
德克萨斯大学达拉斯分校,The University of Texas at Dallas
道家传统中医学院,Daoist Traditions College of Chinese Medical Arts
戴维森学院,Davidson College
德克萨斯大学安德森癌症中心,The University of Texas M. D. Anderson Cancer Center
迪恩学院,Dean College
德克萨斯大学西南医学中心,The University of Texas Southwestern Medical Center
杜兰大学,Tulane University
大西洋海角社区学院,Atlantic Cape Community College
大都会社区学院,Metropolitan Community College
东康涅狄格州立大学,Eastern Connecticut State University
大都会州立大学,Metropolitan State University
东俄勒冈大学,Eastern Oregon University
代顿大学,University of Dayton
丹佛大都会州立大学,Metropolitan State University of Denver
德克萨斯圣安东尼奥圣玛丽大学,St. Mary's University of San Antonio  Texas
迪金森学院,Dickinson College
杜肯大学,Duquesne University
德鲁大学,Drew University
东密歇根大学,Eastern Michigan University
东南密苏里州立大学,Southeast Missouri State University
达特茅斯学院,Dartmouth College
杜克大学,Duke University
东部大学,Eastern University
德克萨斯农工大学,Texas A & M University
德克萨斯基督教大学,Texas Christian University
东南大学（佛罗里达州）,Southeastern University
大卫利普斯科姆大学,David Lipscomb University
德雷克塞尔大学,Drexel University
德雷克大学,Drake University
德克萨斯农工大学科珀斯科里斯蒂分校,Texas A&M University-Corpus Christi
德克萨斯脊椎指压疗法学院,Texas Chiropractic College
德克萨斯学院,Texas College
德克萨斯南方大学,Texas Southern University
德克萨斯卫斯理大学,Texas Wesleyan University
德克萨斯大学圣安东尼奥分校,The University of Texas at San Antonio
德克萨斯大学泰勒分校,The University of Texas at Tyler
德克萨斯大学圣安东尼奥健康科学中心,The University of Texas Health Science Center at San Antonio
德克萨斯大学加尔维斯顿医学部,The University of Texas Medical Branch at Galveston
丹尼森大学,Denison University
东门诺大学,Eastern Mennonite University
东斯特劳斯堡大学,East Stroudsburg University
戴维斯学院,Davis College
代托纳州立学院,Daytona State College
