chinese_name,english_name
俄罗斯科学院西伯利亚分院核物理研究所,Budker Institute of Nuclear Physics  Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院油气地质学与地球物理学研究所,Trofimuk Institute of Petroleum Geology and Geophysics of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院流体力学研究所,Lavrentyev Institute of Hydrodynamics of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院生物物理研究所,Institute of Biophysics SB RAS
俄罗斯科学院西伯利亚分院能源系统研究所,Melentiev Energy Systems Institute SB RAS
俄罗斯科学院西伯利亚分院蒙古学、佛学与藏学研究所,Institute for Mongolian  Buddhist and Tibetan Studies  Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院西伯利亚分院语文学研究所,Institute of Philology of the Siberian Branch of the Russian Academy of Sciences
俄罗斯科学院设计与工艺信息学学院,Institute for Design and Technological Informatics of the Russian Academy of Sciences
俄罗斯科学院语言学研究所,Institute of Linguistics of the Russian Academy of Sciences
俄罗斯科学院进化生理学与生物化学研究所,Sechenov Institute of Evolutionary Physiology and Biochemistry of the Russian Academy of Sciences
俄罗斯科学院远东分院太平洋生物有机化学研究所,Pacific Institute of Bioorganic Chemistry of the Far Eastern Branch of the Russian Academy of Sciences
俄罗斯科学院远东分院自动化与过程控制研究所,Institute of Automation and Control Processes of the Far Eastern Branch of the Russian Academy of Sciences
俄罗斯科学院远东分院远东人民历史、考古与民俗学研究所,Institute of History  Archeology and Ethnography of the Peoples of the Far East  Far Eastern Branch of the Russian Academy of Sciences
俄罗斯科学院远东研究所,Institute of Far Eastern Studies of the Russian Academy of Sciences
俄罗斯科学院非水溶液化学研究所,Institute of Chemistry of Non-Aqueous Solutions of the Russian Academy of Sciences
俄罗斯科学院高尔基世界文学研究所,A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
俄罗斯终身职业教育医学院,Russian Medical Academy of Continuous Professional Education
俄罗斯联邦内务部圣彼得堡大学,Saint Petersburg University of the Ministry of Internal Affairs of the Russian Federation
俄罗斯联邦卫生部莫斯科国立谢东诺夫第一医科大学（谢东诺夫大学）,Sechenov First Moscow State Medical University
俄罗斯联邦外交部外交学院,Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation
俄罗斯联邦总统俄罗斯国民经济和国务学院,Russian Presidential Academy of National Economy and Public Administration
俄罗斯联邦政府财经大学,Financial University under the Government of the Russian Federation
俄罗斯联邦武装力量防空军事学院,Military Academy of Air Defence of the Armed Forces of the Russian Federation
俄罗斯联邦民防、紧急情况和消除自然灾害后果部国家消防学院,Academy of the State Fire Service of the Ministry of the Russian Federation for Civil Defence  Emergencies and Elimination of Consequences of Natural Disasters
俄罗斯联邦经济发展部全俄外贸学院,Russian Foreign Trade Academy of the Ministry of Economic Development of the Russian Federation
俄罗斯艺术史研究院,Russian Institute of Art History
俄罗斯艺术科学院莫斯科国立苏里科夫美术学院,Surikov Moscow State Academic Art Institute of the Russian Academy of Arts
俄罗斯运动大学,Russian University of Sport
俄罗斯门捷列夫化工大学,D. Mendeleev University of Chemical Technology of Russia
克拉斯诺亚尔斯克国立农业大学,Krasnoyarsk State Agrarian University
克拉斯诺亚尔斯克国立医科大学,Krasnoyarsk State Medical University named after Professor V.F. Voyno-Yasenetsky
克拉斯诺亚尔斯克国立师范大学,Krasnoyarsk State Pedagogical University named after V.P. Astafyev
克拉斯诺达尔国立文化学院,Krasnodar State Institute of Culture
克麦罗沃国立大学,Kemerovo State University
克麦罗沃国立文化学院,Kemerovo State Institute of Culture
全俄国立司法大学,All-Russian State University of Justice (RPA of the Ministry of Justice of Russia)
全俄国立电影大学,Gerasimov Russian State University of Cinematography
