chinese_name,english_name
山西华澳商贸职业学院,
山西运城农业职业技术学院,
运城幼儿师范高等专科学校,
山西老区职业技术学院,
山西经贸职业学院,
朔州职业技术学院,
山西铁道职业技术学院,
晋中师范高等专科学校,
阳泉师范高等专科学校,
运城护理职业学院,
运城师范高等专科学校,
朔州师范高等专科学校,
吕梁职业技术学院,
大同师范高等专科学校,
太原幼儿师范高等专科学校,
山西工程职业学院,
长治幼儿师范高等专科学校,
山西通用航空职业技术学院,
朔州陶瓷职业技术学院,
山西卫生健康职业学院,
吕梁师范高等专科学校,
大同数据科技职业学院,
内蒙古大学,Inner Mongolia University
内蒙古科技大学,Inner Mongolia University of Science and Technology
内蒙古工业大学,Inner Mongolia University of Technology
内蒙古农业大学,Inner Mongolia Agricultural University
内蒙古医科大学,Inner Mongolia Medical University
内蒙古师范大学,Inner Mongolia Normal University
内蒙古民族大学,Inner Mongolia University for Nationalities
赤峰学院,Chifeng University
内蒙古财经大学,Inner Mongolia University of Finance and Economics
呼伦贝尔学院,Hulunbuir College
集宁师范学院,Jining Normal University
河套学院,Hetao College
呼和浩特民族学院,
内蒙古大学创业学院,"Pioneer College, Inner Mongolia University"
内蒙古鸿德文理学院,
内蒙古艺术学院,Inner Mongolia University of Arts
鄂尔多斯应用技术学院,Ordos Institute of Technology
内蒙古警察学院,
内蒙古建筑职业技术大学,
兴安职业技术大学,
呼和浩特职业技术大学,
内蒙古丰州职业学院,
包头职业技术学院,
包头轻工职业技术学院,
内蒙古电子信息职业技术学院,
内蒙古机电职业技术学院,
内蒙古化工职业学院,
内蒙古商贸职业学院,
锡林郭勒职业学院,
内蒙古体育职业学院,
乌兰察布职业学院,
通辽职业学院,
科尔沁艺术职业学院,
内蒙古交通职业技术学院,
包头钢铁职业技术学院,
乌海职业技术学院,
内蒙古科技职业学院,
内蒙古北方职业技术学院,
赤峰职业技术学院,
内蒙古经贸外语职业学院,
包头铁道职业技术学院,
乌兰察布医学高等专科学校,
鄂尔多斯职业学院,
内蒙古工业职业学院,
呼伦贝尔职业技术学院,
满洲里俄语职业学院,
内蒙古能源职业学院,
赤峰工业职业技术学院,
阿拉善职业技术学院,
内蒙古美术职业学院,
内蒙古民族幼儿师范高等专科学校,
鄂尔多斯生态环境职业学院,
扎兰屯职业学院,
赤峰应用技术职业学院,
辽宁大学,Liaoning University
大连理工大学,Dalian University of Technology
沈阳工业大学,Shenyang University of Technology
沈阳航空航天大学,Shenyang Aerospace University
沈阳理工大学,Shenyang Ligong University
东北大学,Northeastern University
辽宁科技大学,University of Science and Technology Liaoning
辽宁工程技术大学,Liaoning Technical University
辽宁石油化工大学,Liaoning University of Petroleum and Chemical Technology
沈阳化工大学,Shenyang University of Chemical Technology
大连交通大学,Dalian Jiaotong University
大连海事大学,Dalian Maritime University
大连工业大学,Dalian Polytechnic University
沈阳建筑大学,Shenyang Jianzhu University
辽宁工业大学,Liaoning University of Technology
沈阳农业大学,Shenyang Agricultural University
大连海洋大学,Dalian Ocean University
中国医科大学,China Medical University
锦州医科大学,Jinzhou Medical University
大连医科大学,Dalian Medical University
辽宁中医药大学,Liaoning University of Traditional Chinese Medicine
沈阳药科大学,Shenyang Pharmaceutical University
