chinese_name,english_name
柏林自由大学,Free University of Berlin
柏林艺术大学,Berlin University of the Arts
柏林表演艺术学院,Berlin University of the Arts Ernst Busch
柏林赫尔梯学院,Hertie School
柏林音乐学院,Hanns Eisler School of Music Berlin
格赖夫斯瓦尔德大学,University of Greifswald
梅泽堡应用技术大学,Merseburg University of Applied Sciences
欧洲应用技术大学,University of Europe for Applied Sciences
比伯拉赫应用技术大学,Biberach University of Applied Sciences
比勒菲尔德应用技术大学,Bielefeld University of Applied Sciences
比勒费尔德中等企业应用技术大学,University of Applied Sciences for Small and Medium-Sized Enterprises (FHM)
比勒费尔德大学,Bielefeld University
汉堡品牌应用技术大学,Brand University of Applied Sciences
汉堡国防大学,Helmut Schmidt University/University of the Federal Armed Forces Hamburg
汉堡大学,University of Hamburg
汉堡工业大学,Hamburg University of Technology
汉堡工商管理学院,HSBA Hamburg School of Business Administration
汉堡应用技术大学,Hamburg University of Applied Sciences
汉堡法学院,Bucerius Law School
汉堡港口城市大学,HafenCity University Hamburg
汉堡物流与企业管理学院,Kühne Logistics University
汉堡造型艺术学院,University of Fine Arts Hamburg
汉堡音乐与戏剧学院,Hamburg University of Music and Drama
汉姆-利普斯塔特应用技术大学,Hamm-Lippstadt University of Applied Sciences
汉诺威兽医学院,University of Veterinary Medicine Hannover
汉诺威医学院,Hannover Medical School
汉诺威大学,Leibniz University Hannover
汉诺威应用技术大学,Hannover University of Applied Sciences and Arts
汉诺威音乐、戏剧与媒体学院,Hanover University of Music  Drama and Media
沃尔姆斯应用技术大学,Worms University of Applied Sciences
法伦达尔WHU管理学院,WHU – Otto Beisheim School of Management
法兰克福大学,Goethe University Frankfurt
法兰克福应用技术大学,Frankfurt University of Applied Sciences
法兰克福造型艺术学院,Städel School
法兰克福金融与管理学院,Frankfurt School of Finance & Management
法兰克福音乐和表演艺术学院,University of Music and Performing Arts Frankfurt
波恩-莱茵-锡格应用技术大学,Bonn-Rhein-Sieg University of Applied Sciences
波恩储蓄银行财团学院,University of Finance & Management
波恩大学,University of Bonn
波茨坦大学,University of Potsdam
波茨坦应用技术大学,Potsdam University of Applied Sciences
波鸿大学,Ruhr University Bochum
波鸿应用技术大学,Bochum University of Applied Sciences
泽佩林大学,Zeppelin University
海尔布隆应用技术大学,Heilbronn University of Applied Sciences
海德堡大学,Heidelberg University
海德堡应用技术大学,SRH University of Applied Sciences Heidelberg
海德堡教育学院,Heidelberg University of Education
特罗辛根国立音乐学院,Trossingen State University of Music
特里尔大学,University of Trier
特里尔应用技术大学,Trier University of Applied Sciences
班贝格大学,Otto-Friedrich University Bamberg
盖森海姆应用技术大学,Geisenheim University
科堡应用技术大学,Coburg University of Applied Sciences and Arts
科布伦茨大学,University of Koblenz
科布伦茨应用技术大学,Koblenz University of Applied Sciences
科特布斯勃兰登堡工业大学,Brandenburg University of Technology Cottbus-Senftenberg
科隆大学,University of Cologne
科隆媒体艺术学院,Academy of Media Arts Cologne
科隆应用技术大学,Cologne University of Applied Sciences
科隆德国体育学院,German Sport University Cologne
科隆音乐与舞蹈学院,Cologne University of Music and Dance
米特韦达应用技术大学,Mittweida University of Applied Sciences
纽伦堡应用技术大学,Nuremberg Tech
纽伦堡音乐学院,Nuremberg University of Music
维多利亚国际应用技术大学,VICTORIA International University of Applied Sciences
维尔茨堡-施韦因富特应用技术大学,Würzburg-Schweinfurt University of Applied Sciences
维尔茨堡大学,Julius-Maximilians-University of Würzburg
维尔茨堡音乐学院,Würzburg University of Music
维尔道工程应用技术大学,Wildau University of Applied Sciences
维斯马应用技术大学,Wismar University of Applied Sciences
维滕/黑尔德克大学,University of Witten/Herdecke
罗伊特林根应用技术大学,Reutlingen University
罗斯托克大学,University of Rostock
罗斯托克音乐和戏剧学院,Rostock University of Music and Drama
罗森海姆应用技术大学,Rosenheim Technical University of Applied Sciences
美因茨应用技术大学,Mainz University of Applied Sciences
美茵茨大学,Johannes Gutenberg University Mainz
耶拿大学,Friedrich Schiller University Jena
耶拿应用技术大学,Ernst Abbe University of Applied Sciences Jena
肯普滕应用技术大学,Kempten University of Applied Sciences
艾希施泰特天主教大学,Catholic University of Eichstätt-Ingolstadt
艾母登/里尔应用技术大学,Emden/Leer University of Applied Sciences
英戈尔施塔特应用技术大学,Ingolstadt University of Applied Sciences
茨维考西萨克森应用技术大学,University of Applied Sciences Zwickau
莱比锡HHL管理学院,HHL Leipzig Graduate School of Management
莱比锡大学,Leipzig University
莱比锡平面设计及书籍艺术学院,Academy of Fine Arts Leipzig
莱比锡技术、经济与文化应用技术大学,Leipzig University of Applied Sciences
莱比锡音乐和戏剧学院,University of Music and Theatre Leipzig
莱茵兰-普法尔茨工业大学,Rhineland-Palatinate Technical University Kaiserslautern-Landau
莱茵应用技术大学,Cologne University of Applied Sciences
莱茵曼应用技术大学,RhineMain University of Applied Sciences
莱茵瓦尔应用技术大学,Rhine-Waal University of Applied Sciences
萨尔大学,Saarland University
萨尔布吕肯工程与经济应用技术大学,Saarland University of Applied Sciences
萨尔造型艺术学院,Saar College of Fine Arts
萨尔音乐和戏剧学院,Saar University of Music
西南法伦应用技术大学,South Westphalia University of Applied Sciences
西法伦应用技术大学,Westphalian University of Applied Sciences
西海岸应用技术大学,West Coast University of Applied Sciences
费希塔/迪普霍尔茨应用技术大学,Private University of Applied Sciences for Economics and Technology Vechta/Diepholz
费森尤斯应用技术大学,Fresenius University of Applied Sciences
路德维希堡公共管理与金融应用技术大学,Ludwigsburg University of Applied Sciences - Public Administration and Finance
路德维希堡教育学院,Ludwigsburg University of Education
路德维希港经济与社会应用技术大学,Ludwigshafen University of Business and Society
达姆施塔特工业大学,Technical University of Darmstadt
达姆施塔特应用技术大学,Darmstadt University of Applied Sciences
锡根大学,University of Siegen
阿伦应用技术大学,Aalen University
阿兰努斯艺术与社会科学学院,Alanus University of Arts and Social Sciences
阿尔布施塔特-锡格马林根应用技术大学,Albstadt-Sigmaringen University
阿沙芬堡应用技术大学,Aschaffenburg University of Applied Sciences
雷根斯堡大学,University of Regensburg
雷根斯堡天主教教堂音乐和音乐教育学院,Regensburg College of Catholic Church Music and Musical Education
雷根斯堡应用技术大学,East Bavarian University of Applied Sciences Regensburg
霍夫应用技术大学,Hof University of Applied Sciences
霍恩海姆大学,University of Hohenheim
马尔堡大学,Philipps University of Marburg
马格德堡-施滕达尔应用技术大学,Magdeburg-Stendal University of Applied Sciences
马格德堡大学,Otto von Guericke University Magdeburg
魏恩施蒂芬·特里斯多夫应用技术大学,Weihenstephan-Triesdorf University of Applied Sciences
魏玛包豪斯大学,Bauhaus University Weimar
魏玛李斯特音乐学院,University of Music Franz Liszt Weimar
鲁尔西区应用技术大学,Ruhr West University of Applied Sciences
齐陶/格利茨应用技术大学,Zittau/Görlitz University of Applied Sciences
