chinese_name,english_name
山姆希金波顿农业、技术与科学研究所,Sam Higginbottom Institute of Agriculture  Technology & Sciences
苏里尼大学,Shoolini University
萨雅巴玛学院,Sathyabama University
斯里·奇特拉·蒂鲁纳尔医学科学与技术学院,Sree Chitra Tirunal Institute for Medical Sciences and
苏曼迪普·维迪亚佩斯学院,Sumandeep Vidyapeeth
萨维德里普莱浦那大学,Savitribai Phule Pune University
斯瓦米拉玛嫩德朝圣默拉特瓦拉大学,Swami Ramanand Teerth Marathwada University
圣人古鲁那纳克大学,Guru Nanak Dev University
圣雄甘地农业大学,Mahatma Gandhi Kashi Vidyapeeth
室利克里什纳大学,Sri krishnadevaraya University
斯派塞纪念学院,Spicer Memorial College
圣隆格奥瓦尔工程技术学院,Sant Longowal Institute of Engineering and Technology
室利文格黛斯瓦拉大学,Sri Venkateswara University
SRM大学,SRM University
石油与能源研究大学,University of Petroleum and Energy Studies
沙尔达大学,Sharda University
绍皮德大学,Shobhit University
索拉什特拉大学,Saurashtra University
萨达尔帕特尔大学,Sardar Patel University
泰米尔纳德邦农业大学,Tamil Nadu Agricultural University
特里凡得琅印度科学教育与研究学院,Indian Institute of Science Education and Research  Thiruvananthapuram
塔塔基础研究院,Tata Institute of Fundamental Research
提鲁瓦鲁瓦大学,Thiruvalluvar University
泰米尔纳德邦博士M.G.拉马钱德兰医科大学,The Tamilnadu Dr. M.G.R. Medical University
塔塔社科学院,Tata Institute of Social Sciences
太平洋高等教育研究院大学,Pacific Academy of Higher Education Research University
韦洛尔理工学院,Vellore Institute of Technology
维什沃格尔玛大学,Vishwakarma University
维德雅瑟格大学,Vidyasagar University
瓦兰加尔国家技术学院,National Institute of Technology Warangal
伟大的诗人迦梨陀娑梵语大学,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya
韦斯科技大学,Visvesvaraya Technological University
维纳耶格使命锡金邦大学,Vinayaka Missions Sikkim University
维尔纳尔默德南古吉拉特大学,Veer Narmad South Gujarat University
西尔恰尔阿萨姆大学,Assam University  Silchar
西孟加拉邦毛拉·阿布·卡拉姆·阿扎德技术大学,Maulana Abul Kalam Azad University of Technology  West Bengal
锡尔杰尔国家技术学院,National Institute of Technology Silchar
希瓦吉大学,Shivaji University
喜马偕尔邦大学,Himachal Pradesh University
西尼亚大学,Singhania University
希普尔印度工程科学与技术学院,Indian Institute of Engineering Science and Technology  Shibpur
锡金邦玛尼帕尔大学,Sikkim Manipal University
印度理工学院果阿分校,Indian Institute of Technology Goa
印度科学培育协会学院,Indian Association for the Cultivation of Science
印度理工学院巴特那分校,Indian Institute of Technology Patna
印度理工学院卡拉格普尔分校,Indian Institute of Technology Kharagpur
印度统计学院,Indian Statistical Institute
印多尔印度管理学院,Indian Institute of Management Indore
印度理工学院焦特布尔分校,Indian Institute of Technology Jodhpur
印度教育与研究科学学院莫哈利分校,Indian Institute of Science Education and Research Mohali
印度理工学院瓦拉纳西分校（巴纳拉斯印度大学）,Indian Institute of Technology (Banaras Hindu University)  Varanasi
印度理工学院布巴内斯瓦尔分校,Indian Institute of Technology Bhubaneswar
印度斯坦科技学院,Hindustan Institute of Technology and Science
印度理工学院丹巴德分校（印度矿业学院）,Indian Institute of Technology (Indian School of Mines)  Dhanbad
印度理工学院印多尔分校,Indian Institute of Technology Indore
印度理工学院孟买分校,Indian Institute of Technology Bombay
印度国际大学,Visva Bharati
印度理工学院曼迪分校,Indian Institute of Technology Mandi
约吉维马拉大学,Yogi Vemana University
印度理工学院海德巴拉分校,Indian Institute of Technology Hyderabad
印度理工学院甘地讷格尔分校,Indian Institute of Technology Gandhinagar
艺术科技研究学院（萨斯特拉）,Shanmugha Arts  Science  Technology & Research Academy (SASTRA)
印度理工学院德里分校,Indian Institute of Technology Delhi
印度理工学院罗巴尔分校,Indian Institute of Technology Ropar
印度理工学院比莱分校,Indian Institute of Technology Bhilai
印度理工学院坎普尔分校,Indian Institute of Technology Kanpur
印度科学学院,Indian Institute of Science
印度理工学院古瓦哈提分校,Indian Institute of Technology Guwahati
印度理工学院马德拉斯分校,Indian Institute of Technology Madras
英语与外国语大学,The English And Foreign Languages University
印度理工学院鲁基分校,Indian Institute of Technology Roorkee
斋浦尔IIS学院,IIS (Deemed to be University)  Jaipur
斋浦尔国家大学,Jaipur National University
